"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
123,"void ck_tile::kentry<2, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >::Kargs>(ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >::Kargs) [clone .kd]",2,0,126,284034,284034,311296,1024,0,0,8,0,16,64,"0x0","0x7f273039b0c0",429844547868249,429844580939320,429844580944568,429844580957671,5248
124,"void ck_tile::kentry<256, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >::Kargs) [clone .kd]",2,0,127,284034,284034,155648,256,0,0,32,0,48,64,"0x0","0x7f273039b780",429844547883101,429844580944568,429844580949976,429844580951432,5408
125,"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs) [clone .kd]",2,0,128,284034,284034,65536,256,512,0,20,4,32,64,"0x0","0x7f273039b7c0",429844547893136,429844580949976,429844580954904,429844580964631,4928
126,"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs) [clone .kd]",2,0,129,284034,284034,221184,256,4096,0,64,0,80,64,"0x0","0x7f273039b2c0",429844547909651,429844580954904,429844580982505,429844580985994,27601
127,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>) [clone .kd]",2,0,130,284034,284034,1572864,256,0,0,12,4,32,64,"0x0","0x7f272bf2f180",429844547931944,429844580982505,429844580993762,429844580996309,11257
128,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>) [clone .kd]",2,0,131,284034,284034,3670016,256,0,0,12,4,32,64,"0x0","0x7f272bf2f180",429844547951303,429844580993762,429844581014633,429844581016869,20871
129,"hk_moe_stage1_fp8_fused_act_kernel(__hip_bfloat16 const*, __hip_fp8_e4m3_fnuz const*, float const*, __hip_bfloat16*, int const*, int const*, int const*, int, int, int, int, int, int, int, int, int, int) [clone .kd]",2,0,132,284034,284034,786432,512,25600,0,120,0,48,64,"0x0","0x7f2f30671fc0",429844547961358,429844581014633,429844583697713,429844583699812,2683080
130,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>) [clone .kd]",2,0,133,284034,284034,3670016,256,0,0,12,4,32,64,"0x0","0x7f272bf2e5c0",429844547972695,429844583697713,429844583735850,429844583739862,38137
131,"hk_moe_stage2_fp8_kernel_mma(__hip_bfloat16 const*, __hip_fp8_e4m3_fnuz const*, float const*, float*, int const*, int const*, int const*, float const*, int, int, int, int, int, int, int, int, int, int, int, int) [clone .kd]",2,0,134,284034,284034,22020096,512,32768,0,76,4,48,64,"0x0","0x7f2f30652680",429844547991623,429844583735850,429844586540352,429844586545367,2804502
132,"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>) [clone .kd]",2,0,135,284034,284034,3670016,256,0,0,28,4,32,64,"0x0","0x7eef1586b580",429844548014898,429844586540352,429844586616545,429844586619928,76193
